"Solution","Benchmark","Mode","Threads","Samples","Score","Error","Unit"
"old","bishops","avgt",1,10,120.944237,4.053355,"ms/op"
"old","knights","avgt",1,10,40.177978,0.695155,"ms/op"
"old","normal","avgt",1,10,214.352317,3.744028,"ms/op"
"old","pawns","avgt",1,10,8.003397,1.837424,"ms/op"
"old","queens","avgt",1,10,1869.865639,23.245132,"ms/op"
"old","rooks","avgt",1,10,347.627700,3.568470,"ms/op"
"new","bishops","avgt",1,10,12.159845,0.283289,"ms/op"
"new","knights","avgt",1,10,4.052002,0.284353,"ms/op"
"new","normal","avgt",1,10,37.076589,0.972679,"ms/op"
"new","pawns","avgt",1,10,0.764762,0.067857,"ms/op"
"new","queens","avgt",1,10,173.408318,4.415343,"ms/op"
"new","rooks","avgt",1,10,34.119401,0.310101,"ms/op"
